insurance_num,age,sum_assured
1,28,400000
2,34,291000
3,25,289000
4,20,459000
5,33,285000
6,28,246000
7,20,302000
8,39,427000
9,38,386000
10,33,356000
11,24,205000
12,35,422000
13,38,263000
14,34,457000
15,28,493000
16,27,360000
17,28,288000
18,26,451000
19,39,325000
20,28,477000
21,34,232000
22,33,296000
23,25,344000
24,23,330000
25,37,450000
26,32,203000
27,20,337000
28,24,386000
29,34,342000
30,37,388000
31,33,247000
32,28,400000
33,32,205000
34,32,445000
35,37,249000
36,27,288000
37,21,373000
38,30,368000
39,37,356000
40,20,402000
41,39,315000
42,28,325000
43,20,370000
44,27,442000
45,31,434000
46,30,305000
47,39,282000
48,32,217000
49,28,352000
50,20,486000
51,28,455000
52,20,354000
53,31,364000
54,26,347000
55,23,247000
56,34,381000
57,37,481000
58,34,482000
59,22,432000
60,32,443000
61,37,229000
62,26,497000
63,22,427000
64,30,285000
65,30,407000
66,28,234000
67,31,460000
68,37,374000
69,32,434000
70,24,458000
71,31,358000
72,26,372000
73,32,386000
74,28,271000
75,28,202000
76,21,478000
77,36,293000
78,20,319000
79,20,274000
80,26,453000
81,25,330000
82,30,200000
83,27,442000
84,24,492000
85,35,461000
86,32,495000
87,38,255000
88,37,294000
89,30,288000
90,24,291000
91,23,427000
92,40,367000
93,38,326000
94,21,262000
95,37,245000
96,30,433000
97,33,467000
98,20,245000
99,33,338000
100,21,257000
101,36,348000
102,32,425000
103,26,213000
104,31,499000
105,23,207000
106,34,304000
107,35,388000
108,33,277000
109,30,414000
110,25,371000
111,20,234000
112,30,213000
113,25,477000
114,28,332000
115,27,345000
116,21,302000
117,20,492000
118,31,220000
119,32,423000
120,32,319000
121,24,281000
122,29,263000
123,28,486000
124,21,341000
125,32,318000
126,32,270000
127,23,285000
128,37,361000
129,35,215000
130,24,422000
131,22,423000
132,35,222000
133,29,293000
134,23,416000
135,31,257000
136,29,407000
137,21,446000
138,34,286000
139,25,302000
140,33,405000
141,26,389000
142,39,379000
143,38,340000
144,39,272000
145,34,214000
146,32,338000
147,29,204000
148,28,362000
149,35,307000
150,27,386000
151,36,289000
152,25,219000
153,34,317000
154,37,391000
155,35,471000
156,26,202000
157,38,407000
158,24,240000
159,30,416000
160,32,231000
161,33,202000
162,21,314000
163,34,272000
164,20,364000
165,37,452000
166,30,488000
167,37,437000
168,20,383000
169,30,306000
170,33,391000
171,33,278000
172,26,464000
173,26,257000
174,29,431000
175,33,383000
176,30,277000
177,35,242000
178,31,455000
179,23,406000
180,23,375000
181,39,346000
182,20,249000
183,24,436000
184,35,212000
185,21,316000
186,39,323000
187,26,326000
188,38,297000
189,22,396000
190,22,317000
191,22,299000
192,40,214000
193,30,432000
194,34,473000
195,32,324000
196,25,379000
197,26,398000
198,33,306000
199,35,460000
200,26,308000
201,36,283000
202,25,456000
203,25,288000
204,28,373000
205,22,363000
206,22,282000
207,33,363000
208,33,393000
209,40,328000
210,28,451000
211,32,245000
212,31,259000
213,27,257000
214,29,443000
215,25,357000
216,29,303000
217,21,203000
218,35,354000
219,32,399000
220,20,211000
221,31,233000
222,20,442000
223,24,270000
224,26,343000
